Day,Baseline Cost ($),Smart Cost ($),Savings ($)
1,26.393650000000004,7.08285,19.310800000000004
2,29.8536,10.26455,19.58905
3,27.7843,7.61365,20.170650000000002
4,24.567999999999987,6.991399999999999,17.57659999999999
5,27.7894,6.14385,21.64555
6,16.702950000000005,9.3925,7.310450000000005
7,23.475299999999997,9.2725,14.202799999999996
8,31.238200000000003,7.848349999999999,23.389850000000003
9,26.876050000000006,9.263099999999998,17.61295000000001
10,25.6412,7.5009,18.140300000000003
11,28.183799999999998,6.4666999999999994,21.7171
12,30.4113,7.00895,23.402350000000002
13,25.42495000000001,8.09545,17.32950000000001
14,28.037700000000005,7.890750000000001,20.146950000000004
15,30.238749999999996,8.88895,21.349799999999995
16,23.73295000000001,7.698499999999999,16.03445000000001
17,33.15565000000001,8.0626,25.09305000000001
18,27.60045,7.573249999999999,20.0272
19,31.57435,8.8238,22.750549999999997
20,25.82945,7.77085,18.058600000000002
21,26.474999999999998,8.902299999999997,17.5727
22,22.25035,6.273900000000001,15.97645
23,27.7941,6.172249999999998,21.621850000000002
24,19.428749999999997,6.325200000000001,13.103549999999997
25,28.924500000000005,8.5158,20.408700000000003
26,24.453149999999997,9.154,15.299149999999997
27,25.25365,7.886399999999999,17.367250000000002
28,18.4896,6.396249999999998,12.093350000000001
29,19.34859999999999,6.811600000000001,12.536999999999988
30,32.057549999999985,7.029049999999999,25.028499999999987
31,25.7952,7.001900000000001,18.793300000000002
32,29.516299999999994,9.8831,19.633199999999995
33,27.179949999999998,5.603149999999999,21.5768
34,25.210900000000002,7.1621000000000015,18.0488
35,26.95434999999999,7.805900000000004,19.148449999999986
36,25.043149999999994,5.6604,19.382749999999994
37,27.424749999999992,8.876299999999999,18.548449999999995
38,30.253199999999996,7.8370500000000005,22.416149999999995
39,27.486300000000007,7.3995999999999995,20.086700000000008
40,32.3665,8.101499999999998,24.265000000000004
41,24.897250000000003,6.358449999999999,18.538800000000005
42,32.80884999999999,6.4357999999999995,26.373049999999992
43,30.975499999999997,8.155750000000001,22.819749999999996
44,28.04345,6.085799999999999,21.95765
45,23.140049999999995,7.318250000000002,15.821799999999993
46,24.236099999999997,8.922850000000002,15.313249999999995
47,31.554999999999993,10.142749999999998,21.412249999999993
48,26.3251,8.374150000000004,17.950949999999995
49,31.172399999999996,7.927850000000001,23.244549999999997
50,32.483349999999994,8.069749999999997,24.413599999999995
51,27.85805,8.9203,18.93775
52,29.5033,9.085600000000001,20.417699999999996
53,30.25735,7.153249999999999,23.1041
54,29.888399999999997,9.955949999999998,19.93245
55,32.247,8.774149999999999,23.47285
56,28.074849999999998,6.971949999999999,21.102899999999998
57,30.34275,12.0508,18.29195
58,17.2159,10.604350000000002,6.611549999999999
59,31.496000000000002,6.799900000000002,24.6961
60,30.206249999999997,7.346899999999999,22.85935
61,24.17605,9.3451,14.83095
62,26.8861,4.8058000000000005,22.080299999999998
63,31.037899999999997,7.25075,23.787149999999997
64,22.6417,5.89155,16.75015
65,27.771000000000004,7.741449999999999,20.029550000000008
66,29.2901,9.0169,20.2732
67,32.95825,9.71405,23.2442
68,29.348750000000006,8.712850000000001,20.635900000000007
69,26.508,9.5136,16.9944
70,31.743600000000004,9.177399999999997,22.56620000000001
71,30.822999999999993,7.859450000000001,22.96354999999999
72,28.634900000000012,8.92275,19.712150000000012
73,27.89265,10.861800000000002,17.030849999999997
74,26.47015,9.664500000000002,16.80565
75,26.3054,7.6518500000000005,18.65355
76,27.67035,7.803999999999998,19.86635
77,25.918600000000005,7.1135,18.805100000000003
78,28.6127,6.019449999999999,22.59325
79,32.6944,11.37235,21.32205
80,31.4609,8.943200000000001,22.517699999999998
81,27.9784,5.755250000000003,22.223149999999997
82,29.742299999999993,9.83445,19.907849999999993
83,21.246499999999997,5.471950000000001,15.774549999999996
84,25.859499999999993,7.079599999999999,18.779899999999994
85,32.7071,10.2897,22.417399999999997
86,19.635850000000005,8.067599999999999,11.568250000000006
87,28.315949999999994,8.7458,19.570149999999995
88,22.8227,6.9836,15.839100000000002
89,26.55555,7.265650000000001,19.2899
90,25.614299999999993,6.117500000000001,19.496799999999993
91,25.69674999999999,6.74425,18.95249999999999
92,29.642849999999992,7.9919,21.65094999999999
93,26.855299999999996,9.4186,17.436699999999995
94,31.5511,7.473550000000001,24.077550000000002
95,30.98389999999999,9.191450000000003,21.792449999999988
96,33.235150000000004,7.558450000000001,25.676700000000004
97,16.52245,9.872199999999998,6.6502500000000015
98,21.840300000000003,7.195199999999999,14.645100000000003
99,24.033799999999996,8.8062,15.227599999999995
100,30.09575,7.633049999999999,22.462699999999998
